seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
7,lossless,18,19,0.5075,0.5214,0.0,0.4075,0.5925,1,0.0,0.0
7,lossless,19,20,0.4561,0.5145,0.0,0.3561,0.6439,1,0.0,0.0
7,lossless,20,25,0.4729,0.4871,0.0,0.3729,0.6271,1,0.0,0.0
7,lossless,21,22,0.4962,0.4943,0.0,0.3962,0.6038,1,0.0,0.0
7,lossless,22,23,0.5037,0.5021,0.0,0.4037,0.5963,1,0.0,0.0
7,lossless,23,24,0.4642,0.4999,0.0,0.3642,0.6358,1,0.0,0.0
7,lossless,24,25,0.4687,0.5021,0.0,0.3687,0.6313,1,0.0,0.0
7,lossless,25,20,0.5723,0.4731,0.0248,0.3723,0.6277,2,0.0,0.0
8,lossless,2,1,0.4083,0.469,0.016,0.3083,0.6917,1,0.0,0.0
8,lossless,3,4,0.4657,0.4521,0.0001,0.3657,0.6343,1,0.0,0.0
8,lossless,4,5,0.4743,0.5345,0.0,0.3743,0.6257,1,0.0,0.0
8,lossless,5,10,0.4792,0.502,0.0,0.3792,0.6208,1,0.0,0.0
8,lossless,6,1,0.4258,0.5316,0.0,0.3258,0.6742,1,0.0,0.0
8,lossless,7,8,0.4613,0.4729,0.0,0.3613,0.6387,1,0.0,0.0
8,lossless,8,9,0.4754,0.4954,0.0,0.3754,0.6246,1,0.0,0.0
8,lossless,9,10,0.4638,0.4641,0.0,0.3638,0.6362,1,0.0,0.0
8,lossless,10,15,0.4473,0.4962,0.0171,0.3473,0.6527,1,0.0,0.0
8,lossless,11,12,0.4793,0.4815,0.0207,0.3793,0.6207,1,0.0,0.0
8,lossless,12,13,0.4716,0.4953,0.0202,0.3716,0.6284,1,0.0,0.0
8,lossless,13,14,0.4827,0.5249,0.0425,0.3827,0.6173,1,0.0,0.0
8,lossless,14,15,0.4835,0.5217,0.0,0.3835,0.6165,1,0.0,0.0
8,lossless,15,19,0.5267,0.3107,0.0,0.4267,0.5733,1,0.0,0.0
8,lossless,16,17,0.4746,0.4806,0.0,0.3746,0.6254,1,0.0,0.0
8,lossless,17,18,0.4673,0.4672,0.0,0.3673,0.6327,1,0.0,0.0
8,lossless,18,19,0.4811,0.5045,0.0,0.3811,0.6189,1,0.0,0.0
8,lossless,19,20,0.4846,0.5523,0.0,0.3846,0.6154,1,0.0,0.0
8,lossless,20,25,0.4641,0.4826,0.0371,0.3641,0.6359,1,0.0,0.0
8,lossless,21,22,0.4947,0.5068,0.0,0.3947,0.6053,1,0.0,0.0
8,lossless,22,23,0.4922,0.4947,0.0019,0.3922,0.6078,1,0.0,0.0
8,lossless,23,24,0.4576,0.5218,0.0,0.3576,0.6424,1,0.0,0.0
8,lossless,24,25,0.476,0.4984,0.0,0.376,0.624,1,0.0,0.0
8,lossless,25,20,0.6037,0.504,0.0,0.4037,0.5963,2,0.0,0.0
9,lossless,2,1,0.4095,0.4829,0.0,0.3095,0.6905,1,0.0,0.0
9,lossless,3,4,0.4752,0.4977,0.0045,0.3752,0.6248,1,0.0,0.0
9,lossless,4,5,0.4802,0.4915,0.0093,0.3802,0.6198,1,0.0,0.0
9,lossless,5,10,0.4771,0.4922,0.0,0.3771,0.6229,1,0.0,0.0
9,lossless,6,1,0.3974,0.5142,0.0323,0.2974,0.7026,1,0.0,0.0
9,lossless,7,8,0.4786,0.542,0.0,0.3786,0.6214,1,0.0,0.0
9,lossless,8,9,0.4766,0.4727,0.0,0.3766,0.6234,1,0.0,0.0
