scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,31.0,25,26,0.5338,0.5044,0.3193,0.4338,0.5662,1,0.0,0.0769
mixed_attack_energy,0,31.0,26,27,0.5314,0.5118,0.3028,0.4314,0.5686,1,0.0,0.0769
mixed_attack_energy,0,31.0,27,28,0.537,0.5135,0.2772,0.437,0.563,1,0.0,0.0769
mixed_attack_energy,0,31.0,28,29,0.5543,0.3621,0.2978,0.4543,0.5457,1,0.0,0.0769
mixed_attack_energy,0,31.0,29,30,0.5543,0.4745,0.2877,0.4543,0.5457,1,0.0,0.0769
mixed_attack_energy,0,31.0,30,36,0.5435,0.4962,0.3215,0.4435,0.5565,1,0.0,0.0769
mixed_attack_energy,0,31.0,31,32,0.529,0.3965,0.3101,0.429,0.571,1,0.0,0.0769
mixed_attack_energy,0,31.0,32,33,0.5367,0.4885,0.2873,0.4367,0.5633,1,0.0,0.0769
mixed_attack_energy,0,31.0,33,34,0.5482,0.5071,0.2786,0.4482,0.5518,1,0.0,0.0769
mixed_attack_energy,0,31.0,34,28,0.6277,0.5041,0.2975,0.4277,0.5723,2,0.0,0.0769
mixed_attack_energy,0,31.0,35,36,0.5486,0.4362,0.2817,0.4486,0.5514,1,0.0,0.0769
mixed_attack_energy,0,31.0,36,30,0.6388,0.4742,0.3029,0.4388,0.5612,2,0.0,0.0769
mixed_attack_energy,0,41.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,41.0,2,1,0.464,0.5027,0.0607,0.364,0.636,1,0.0,0.0789
mixed_attack_energy,0,41.0,3,4,0.5346,0.3385,0.0461,0.4346,0.5654,1,0.0,0.0789
mixed_attack_energy,0,41.0,4,5,0.5318,0.4661,0.1058,0.4318,0.5682,1,0.0,0.0789
mixed_attack_energy,0,41.0,5,6,0.5655,0.4905,0.0693,0.4655,0.5345,1,0.0,0.0789
mixed_attack_energy,0,41.0,6,12,0.5467,0.356,0.0976,0.4467,0.5533,1,0.0,0.0789
mixed_attack_energy,0,41.0,7,1,0.5178,0.455,0.0572,0.4178,0.5822,1,0.0,0.0789
mixed_attack_energy,0,41.0,8,1,0.5899,0.2679,0.0663,0.4899,0.5101,1,0.0,0.0789
mixed_attack_energy,0,41.0,9,10,0.5295,0.4527,0.0791,0.4295,0.5705,1,0.0,0.0789
mixed_attack_energy,0,41.0,10,11,0.5291,0.3641,0.0833,0.4291,0.5709,1,0.0,0.0789
mixed_attack_energy,0,41.0,11,17,0.5288,0.4292,0.0803,0.4288,0.5712,1,0.0,0.0789
mixed_attack_energy,0,41.0,12,18,0.5454,0.4735,0.0416,0.4454,0.5546,1,0.0,0.0789
mixed_attack_energy,0,41.0,13,14,0.54,0.5358,0.0728,0.44,0.56,1,0.0,0.0789
mixed_attack_energy,0,41.0,14,15,0.5141,0.5091,0.0817,0.4141,0.5859,1,0.0,0.0789
mixed_attack_energy,0,41.0,15,16,0.5373,0.4935,0.0654,0.4373,0.5627,1,0.0,0.0789
mixed_attack_energy,0,41.0,16,17,0.5295,0.3248,0.0963,0.4295,0.5705,1,0.0,0.0789
mixed_attack_energy,0,41.0,17,18,0.5498,0.4699,0.0853,0.4498,0.5502,1,0.0,0.0789
mixed_attack_energy,0,41.0,18,24,0.5334,0.4546,0.0647,0.4334,0.5666,1,0.0,0.0789
mixed_attack_energy,0,41.0,19,20,0.5438,0.5145,0.0624,0.4438,0.5562,1,0.0,0.0789
mixed_attack_energy,0,41.0,20,21,0.5274,0.3593,0.0562,0.4274,0.5726,1,0.0,0.0789
mixed_attack_energy,0,41.0,21,27,0.5196,0.4923,0.0555,0.4196,0.5804,1,0.0,0.0789
mixed_attack_energy,0,41.0,22,23,0.5599,0.4669,0.1,0.4599,0.5401,1,0.0,0.0789
mixed_attack_energy,0,41.0,23,24,0.5346,0.485,0.089,0.4346,0.5654,1,0.0,0.0789
mixed_attack_energy,0,41.0,24,30,0.5286,0.4523,0.0744,0.4286,0.5714,1,0.0,0.0789
mixed_attack_energy,0,41.0,25,26,0.5338,0.3805,0.099,0.4338,0.5662,1,0.0,0.0789
